"Plant","Type","Treatment","conc","uptake","weight","weightNumber"
"Qn1","Quebec","nonchilled",95,16,"26kg",26
"Qn1","Quebec","nonchilled",175,30.4,"20kg",20
"Qn1","Quebec","nonchilled",429.166666666667,20,"19kg",19
"Qn1","Quebec","nonchilled",350,37.2,"29kg",29
"Qn1","Quebec","nonchilled",500,35.3,"19kg",19
"Qn1","Quebec","nonchilled",675,39.2,"21kg",21
"Qn1","Quebec","nonchilled",1000,39.7,"16kg",16
"Qn2","Quebec","nonchilled",429.166666666667,13.6,"17kg",17
"Qn2","Quebec","nonchilled",175,27.3,"8kg",8
"Qn2","Quebec","nonchilled",250,37.1,"4kg",4
"Qn2","Quebec","nonchilled",350,41.8,"28kg",28
"Qn2","Quebec","nonchilled",500,40.6,"27kg",27
"Qn2","Quebec","nonchilled",675,41.4,"20kg",20
"Qn2","Quebec","nonchilled",429.166666666667,20,"23kg",23
"Qn3","Quebec","nonchilled",429.166666666667,20,"0kg",0
"Qn3","Quebec","nonchilled",429.166666666667,20,"14kg",14
"Qn3","Quebec","nonchilled",250,40.3,"22kg",22
"Qn3","Quebec","nonchilled",350,42.1,"6kg",6
"Qn3","Quebec","nonchilled",500,42.9,"9kg",9
"Qn3","Quebec","nonchilled",429.166666666667,43.9,"6kg",6
"Qn3","Quebec","nonchilled",1000,45.5,"4kg",4
"Qc1","Quebec","chilled",95,14.2,"12kg",12
"Qc1","Quebec","chilled",175,24.1,"12kg",12
"Qc1","Quebec","chilled",250,20,"11kg",11
"Qc1","Quebec","chilled",350,34.6,"4kg",4
"Qc1","Quebec","chilled",500,32.5,"4kg",4
"Qc1","Quebec","chilled",429.166666666667,35.4,"6kg",6
"Qc1","Quebec","chilled",1000,38.7,"13kg",13
"Qc2","Quebec","chilled",95,9.3,"7kg",7
"Qc2","Quebec","chilled",175,27.3,"25kg",25
"Qc2","Quebec","chilled",250,35,"1kg",1
"Qc2","Quebec","chilled",350,38.8,"13kg",13
"Qc2","Quebec","chilled",500,38.6,"23kg",23
"Qc2","Quebec","chilled",675,20,"3kg",3
"Qc2","Quebec","chilled",1000,42.4,"16kg",16
"Qc3","Quebec","chilled",95,15.1,"6kg",6
"Qc3","Quebec","chilled",175,21,"3kg",3
"Qc3","Quebec","chilled",429.166666666667,20,"22kg",22
"Qc3","Quebec","chilled",350,34,"26kg",26
"Qc3","Quebec","chilled",500,38.9,"11kg",11
"Qc3","Quebec","chilled",675,39.6,"19kg",19
"Qc3","Quebec","chilled",1000,41.4,"2kg",2
"Mn1","Mississippi","nonchilled",95,10.6,"11kg",11
"Mn1","Mississippi","nonchilled",175,20,"8kg",8
"Mn1","Mississippi","nonchilled",250,26.2,"24kg",24
"Mn1","Mississippi","nonchilled",350,20,"13kg",13
"Mn1","Mississippi","nonchilled",500,30.9,"24kg",24
"Mn1","Mississippi","nonchilled",429.166666666667,32.4,"24kg",24
"Mn1","Mississippi","nonchilled",1000,35.5,"23kg",23
"Mn2","Mississippi","nonchilled",95,12,"13kg",13
"Mn2","Mississippi","nonchilled",175,22,"22kg",22
"Mn2","Mississippi","nonchilled",250,30.6,"18kg",18
"Mn2","Mississippi","nonchilled",350,31.8,"21kg",21
"Mn2","Mississippi","nonchilled",500,32.4,"0kg",0
"Mn2","Mississippi","nonchilled",675,31.1,"14kg",14
"Mn2","Mississippi","nonchilled",429.166666666667,31.5,"6kg",6
"Mn3","Mississippi","nonchilled",95,11.3,"11kg",11
"Mn3","Mississippi","nonchilled",175,19.4,"18kg",18
"Mn3","Mississippi","nonchilled",250,25.8,"10kg",10
"Mn3","Mississippi","nonchilled",350,27.9,"3kg",3
"Mn3","Mississippi","nonchilled",500,28.5,"7kg",7
"Mn3","Mississippi","nonchilled",675,28.1,"20kg",20
"Mn3","Mississippi","nonchilled",1000,27.8,"12kg",12
"Mc1","Mississippi","chilled",95,10.5,"23kg",23
"Mc1","Mississippi","chilled",175,14.9,"3kg",3
"Mc1","Mississippi","chilled",250,20,"13kg",13
"Mc1","Mississippi","chilled",350,18.9,"29kg",29
"Mc1","Mississippi","chilled",500,19.5,"26kg",26
"Mc1","Mississippi","chilled",675,22.2,"26kg",26
"Mc1","Mississippi","chilled",1000,21.9,"5kg",5
"Mc2","Mississippi","chilled",95,7.7,"3kg",3
"Mc2","Mississippi","chilled",175,11.4,"19kg",19
"Mc2","Mississippi","chilled",250,12.3,"10kg",10
"Mc2","Mississippi","chilled",350,20,"19kg",19
"Mc2","Mississippi","chilled",429.166666666667,12.5,"9kg",9
"Mc2","Mississippi","chilled",675,13.7,"5kg",5
"Mc2","Mississippi","chilled",1000,14.4,"23kg",23
"Mc3","Mississippi","chilled",95,20,"2kg",2
"Mc3","Mississippi","chilled",175,18,"14kg",14
"Mc3","Mississippi","chilled",429.166666666667,17.9,"15kg",15
"Mc3","Mississippi","chilled",350,17.9,"17kg",17
"Mc3","Mississippi","chilled",500,17.9,"9kg",9
"Mc3","Mississippi","chilled",675,18.9,"14kg",14
"Mc3","Mississippi","chilled",1000,19.9,"28kg",28
